systematic_name	goid
YAR019C	GO:0005819
YAR019C	GO:0000922
YAR019C	GO:0005816
YAR019C	GO:0016301
YAR019C	GO:0016740
YAR019C	GO:0000910
YAR019C	GO:0007010
YAR019C	GO:0051321
YAR019C	GO:0000278
YAR019C	GO:0048285
YAR019C	GO:0006468
YAR019C	GO:0051726
YAR019C	GO:0033043
YAR020C	GO:0005575
YAR020C	GO:0003674
YAR020C	GO:0008150
YAR027W	GO:0012505
YAR027W	GO:0005634
YAR027W	GO:0003674
YAR027W	GO:0008150
YAR031W	GO:0005737
YAR031W	GO:0012505
YAR031W	GO:0005783
YAR031W	GO:0016020
YAR031W	GO:0005886
YAR031W	GO:0003674
YAR031W	GO:0008150
YAR033W	GO:0005794
YAR033W	GO:0005737
YAR033W	GO:0012505
YAR033W	GO:0005783
YAR033W	GO:0016020
YAR033W	GO:0005886
YAR033W	GO:0003674
YAR033W	GO:0016050
YAR035W	GO:0005737
YAR035W	GO:0005739
YAR035W	GO:0016740
YAR035W	GO:0032787
YAR050W	GO:0005618
YAR050W	GO:0042221
YAR050W	GO:0009408
YAR050W	GO:0006979
YAR071W	GO:0005576
YAR071W	GO:0016787
YAR071W	GO:0016791
YBL001C	GO:0005737
YBL001C	GO:0005634
YBL001C	GO:0003674
YBL001C	GO:0008150
YBL002W	GO:0005694
YBL002W	GO:0000788
YBL002W	GO:0005634
YBL002W	GO:0031298
YBL002W	GO:0003677
YBL002W	GO:0006325
YBL003C	GO:0005694
YBL003C	GO:0000788
YBL003C	GO:0005634
YBL003C	GO:0031298
YBL003C	GO:0003677
YBL003C	GO:0006281
YBL003C	GO:0006974
YBL003C	GO:0006325
YBL004W	GO:0030686
YBL004W	GO:0005737
YBL004W	GO:0005730
YBL004W	GO:0005634
YBL004W	GO:0030684
YBL004W	GO:0030688
YBL004W	GO:0030529
YBL004W	GO:0032040
YBL004W	GO:0003723
YBL004W	GO:0003729
YBL004W	GO:0006364
YBL004W	GO:0042274
YBL005W	GO:0005737
YBL005W	GO:0005634
YBL005W	GO:0001071
YBL005W	GO:0042221
YBL005W	GO:0006366
YBL006C	GO:0016586
YBL006C	GO:0005634
YBL006C	GO:0016887
YBL006C	GO:0016787
YBL006C	GO:0006354
YBL006C	GO:0071554
YBL006C	GO:0006325
YBL006C	GO:0006366
YBL007C	GO:0005938
YBL007C	GO:0005737
